Feature,SHAP Importance,SHAP Percentage
HRV_LF_norm,0.09225289206881854,19.910798655208716
EDA_Tonic,0.06949080648172762,14.99809301602821
HRV_pNN20_norm,0.06279358456959087,13.552641994911898
HRV_pNN50,0.06263902229541927,13.519283058929425
HRV_HF,0.04598418377001101,9.924695083659847
HRV_pNN20,0.033370609006347855,7.202326800025231
SCR_Onsets,0.031998786597136876,6.906248496484054
HRV_prc80NN,0.024624028304669816,5.314565848935127
SCR_Amplitude,0.02106298200075103,4.545990746635786
SCR_Phasic_norm,0.019114051993857798,4.125356205104034
HRV_maxNN,8.809805942597407e-11,1.9014067568056967e-08
HRV_madNN,6.996618976462037e-11,1.5100694252883406e-08
HRV_LFHF,5.4241287949134117e-11,1.1706813075830324e-08
HRV_VLF,4.7321036168965503e-11,1.0213225864109086e-08
HRV_VLF_norm,4.5781729206892126e-11,9.880999629211856e-09
HRV_minNN_norm,2.330356952217303e-11,5.029573277307315e-09
HRV_MeanNN,2.170483025800821e-11,4.684519860800694e-09
HRV_minNN,1.776140047985374e-11,3.833415526150501e-09
SCR_Amplitude_norm,1.7636290028781323e-11,3.806413131481866e-09
HRV_pNN50_norm,1.7258923052522194e-11,3.7249666021111067e-09
EDA_Tonic_norm,1.6917612182351985e-11,3.6513020062117862e-09
SCR_Phasic,1.5899996992136523e-11,3.4316716975408414e-09
HRV_HF_norm,0.0,0.0
HRV_LF,0.0,0.0
SCR_Onsets_norm,0.0,0.0
