Feature,SHAP Importance,SHAP Percentage
HRV_pNN50,0.11904570048777853,16.731695970069065
HRV_pNN20,0.06968862707993961,9.794632784682355
SCR_Amplitude,0.05654274591826474,7.946998758803502
HRV_pNN50_norm,0.05539611717428856,7.785841795921661
HRV_madNN,0.054873732824090464,7.712421453219457
EDA_Tonic,0.054555713948037605,7.667724373652053
HRV_pNN20_norm,0.054056947088813846,7.59762343414492
SCR_Amplitude_norm,0.03991627672510475,5.610173266947691
HRV_VLF_norm,0.03482413712098312,4.894480626690954
HRV_LF_norm,0.030249696899722848,4.251549863952152
SCR_Onsets,0.028786908440549163,4.0459571237932375
HRV_LF,0.02339067714325393,3.2875248487881916
HRV_HF,0.02040669246654589,2.8681302449893806
EDA_Tonic_norm,0.01846247930418562,2.5948739795356097
HRV_HF_norm,0.014262941446930466,2.004635185908601
SCR_Onsets_norm,0.01211046554016719,1.7021079017874985
HRV_MeanNN,0.007068671941982234,0.9934913177107674
HRV_maxNN,0.006245988285183094,0.8778643545469781
HRV_LFHF,0.006116668112740907,0.8596885968401998
HRV_prc80NN,0.005496921301185709,0.7725841051460557
SCR_Phasic,5.5802407352749554e-11,7.84294527562551e-09
HRV_minNN,1.550032936746672e-11,2.1785482159350322e-09
HRV_VLF,1.0019228359635842e-11,1.4081876294669781e-09
HRV_minNN_norm,8.654047776363674e-12,1.216313530948851e-09
SCR_Phasic_norm,1.591543340876096e-12,2.236890470938146e-10
