Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.07740323180822353,15.856783449286786
EDA_Tonic,0.06647367543645955,13.617760548883531
HRV_pNN20_norm,0.057847567848292814,11.85062089798749
HRV_LF_norm,0.05703941264838132,11.68506266871146
HRV_pNN50,0.05625830013378882,11.525044389059921
SCR_Amplitude,0.048316848448801256,9.8981629695112
HRV_HF,0.04187996655323899,8.579506888593897
SCR_Phasic_norm,0.040537442376863866,8.304478125028101
SCR_Onsets,0.03665273219149932,7.5086585354122075
HRV_prc80NN,0.005730375291008903,1.173921526917667
HRV_LF,9.921619234159142e-13,2.0325374533731738e-10
SCR_Onsets_norm,6.048913085099224e-13,1.2391770040251111e-10
HRV_VLF_norm,3.886321991243266e-13,7.961497832807327e-11
SCR_Amplitude_norm,3.774486058258246e-13,7.732391356273358e-11
HRV_pNN50_norm,3.774486058258246e-13,7.732391356273358e-11
HRV_MeanNN,2.260661555834352e-13,4.6311788158675567e-11
EDA_Tonic_norm,0.0,0.0
HRV_minNN_norm,0.0,0.0
HRV_minNN,0.0,0.0
HRV_HF_norm,0.0,0.0
SCR_Phasic,0.0,0.0
HRV_VLF,0.0,0.0
HRV_maxNN,0.0,0.0
HRV_madNN,0.0,0.0
HRV_LFHF,0.0,0.0
