Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.07541073871347757,14.549182505622102
SCR_Amplitude_norm,0.06076136383542419,11.72284195611649
HRV_minNN,0.057587924313204704,11.11058232881392
HRV_VLF,0.054505087205982176,10.515802852133517
EDA_Tonic,0.04799779421320431,9.26033453310271
SCR_Amplitude,0.04794352627995394,9.24986448495662
HRV_LF_norm,0.047547854066725105,9.173526454844723
HRV_VLF_norm,0.04407115632682497,8.50275846082094
HRV_LF,0.04341959781163054,8.377051646216275
HRV_pNN20_norm,0.039070942913462255,7.538054775918939
SCR_Phasic,3.4413622310002662e-12,6.639506258785563e-10
HRV_pNN50_norm,1.3633103943119103e-12,2.630268855211552e-10
HRV_MeanNN,9.737804222479176e-13,1.8787389336572856e-10
SCR_Onsets,6.86650858105341e-13,1.324772681272138e-10
HRV_HF,3.9643041174105244e-13,7.648431124795047e-11
HRV_madNN,2.791877763877897e-13,5.38643962557922e-11
SCR_Phasic_norm,1.99070698197406e-13,3.840720789913228e-11
HRV_HF_norm,1.953086374232385e-13,3.7681384100898855e-11
HRV_pNN50,0.0,0.0
HRV_prc80NN,0.0,0.0
HRV_maxNN,0.0,0.0
HRV_LFHF,0.0,0.0
HRV_minNN_norm,0.0,0.0
EDA_Tonic_norm,0.0,0.0
SCR_Onsets_norm,0.0,0.0
