Feature,SHAP Importance,SHAP Percentage
HRV_pNN20,0.04826427247706653,17.401322951268984
EDA_Tonic,0.04212624435598422,15.188302757715332
HRV_LF_norm,0.03964037783512165,14.292042150786441
HRV_pNN50,0.036292088615268475,13.084841481251791
SCR_Amplitude,0.03062293171236894,11.040869303371226
HRV_pNN20_norm,0.029126511925170965,10.50134632599548
EDA_Tonic_norm,0.027230598849170853,9.817789027194632
HRV_HF,0.024056762189582408,8.673485925261039
HRV_madNN,3.3962674312875713e-11,1.2244988553136026e-08
HRV_VLF,2.2303009585866927e-11,8.041183522932632e-09
HRV_prc80NN,1.839453533288859e-11,6.6320123237787866e-09
SCR_Amplitude_norm,1.8235646065499948e-11,6.574725985180519e-09
HRV_minNN_norm,1.686185832688724e-11,6.079417076972022e-09
HRV_maxNN,1.4298784607193269e-11,5.1553199911722135e-09
HRV_pNN50_norm,1.3565821420020956e-11,4.891055588607411e-09
HRV_MeanNN,1.3109968514871816e-11,4.726701228463609e-09
HRV_VLF_norm,1.3038419975982779e-11,4.700904937169854e-09
HRV_minNN,1.1100921803109588e-11,4.002354442294371e-09
SCR_Onsets_norm,1.0196907009511508e-11,3.6764186606331057e-09
SCR_Phasic_norm,9.364930565516931e-12,3.3764557678602543e-09
HRV_LF,7.721332523023225e-12,2.7838687698257026e-09
HRV_LFHF,7.281530202755999e-12,2.625301328177764e-09
SCR_Onsets,4.560822903233103e-12,1.6443706325504974e-09
SCR_Phasic,0.0,0.0
HRV_HF_norm,0.0,0.0
