Feature,SHAP Importance,SHAP Percentage
EDA_Tonic,0.08775253500374233,16.2113608752794
HRV_LF_norm,0.07618604930902775,14.074573902142063
SCR_Amplitude,0.06283879700969246,11.60880896773077
HRV_pNN20_norm,0.05489104853656323,10.140545758715168
HRV_pNN50,0.05139142430505273,9.494026870771139
HRV_HF,0.05037068225812747,9.305455478701711
SCR_Phasic_norm,0.0424103611780496,7.83486961235913
HRV_pNN20,0.04225893789981984,7.806895749174483
HRV_prc80NN,0.03793342514380444,7.007802614652506
SCR_Onsets,0.03526944463760544,6.515660144365354
SCR_Amplitude_norm,3.748254047557869e-11,6.924506399113814e-09
HRV_madNN,1.724420358830588e-11,3.185685830784178e-09
SCR_Onsets_norm,1.5283000585704996e-11,2.8233741366150175e-09
HRV_MeanNN,1.3644766170182599e-11,2.5207275030197215e-09
HRV_VLF_norm,1.3015695928925526e-11,2.4045133708982668e-09
HRV_LF,1.234773404399062e-11,2.281114415333623e-09
HRV_LFHF,1.1987321248417744e-11,2.214531929792311e-09
HRV_minNN_norm,1.0213770615740058e-11,1.8868870436851243e-09
SCR_Phasic,4.93852915639437e-12,9.123414878440146e-10
HRV_VLF,2.7475245967626334e-12,5.075763651719696e-10
HRV_pNN50_norm,2.4196823802253696e-12,4.470109526490103e-10
HRV_HF_norm,0.0,0.0
HRV_minNN,0.0,0.0
EDA_Tonic_norm,0.0,0.0
HRV_maxNN,0.0,0.0
